Date,Rot,VH,Team,Pitcher,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,Final,Open,Close,RunLine,,OpenOU,,CloseOU,
402,927,V,SFO,JCUETO,0,0,1,0,0,2,3,0,0,6,-110,104,1.5,-185,8.5,-110,8.5,-105
402,928,H,SEA,YKIKUCHI-L,0,1,2,0,0,0,0,0,0,3,-110,-114,-1.5,165,8.5,-110,8.5,-115
402,929,V,BAL,JMEANS-L,0,0,0,0,0,2,0,1,0,3,144,161,1.5,-125,9,-110,9,-110
402,930,H,BOS,NEOVALDI,0,0,0,0,0,0,0,0,0,0,-165,-172,-1.5,105,9,-110,9,-110
403,951,V,PIT,TANDERSON-L,1,0,0,0,0,0,0,0,0,1,144,149,1.5,-140,11,-110,11,-115
403,952,H,CUB,JARRIETA,0,2,1,0,0,1,1,0,x,5,-165,-159,-1.5,120,11,-110,11,-105
403,953,V,ATL,CMORTON,0,0,0,0,0,0,0,0,0,0,100,-112,-1.5,145,8.5,-110,7.5,-120
403,954,H,PHI,ZWHEELER,0,0,0,0,3,1,0,0,x,4,-120,102,1.5,-165,8.5,-110,7.5,100
403,957,V,STL,AWAINWRIG,0,1,0,1,0,1,0,1,2,6,-110,108,1.5,-180,9,-110,9,-105
403,958,H,CIN,TMAHLE,0,0,6,2,0,1,0,0,x,9,-110,-118,-1.5,160,9,-110,9,-115
403,959,V,LAD,WBUEHLER,0,0,0,0,0,3,1,2,0,6,-225,-220,-1.5,-150,11.5,-110,11.5,-115
403,960,H,COL,JGRAY,0,0,1,1,0,0,2,1,0,5,188,200,1.5,130,11.5,-110,11.5,-105
403,961,V,ARI,CSMITH-L,0,0,0,0,0,0,0,0,0,0,176,190,1.5,-110,8.5,-110,8.5,-115
403,962,H,SDG,JMUSGROVE,2,2,0,1,0,2,0,0,x,7,-210,-210,-1.5,-110,8.5,-110,8.5,-105
403,963,V,TOR,RSTRIPLIN,0,0,1,0,1,0,1,0,0,3,163,152,1.5,-125,9,-110,9,-125
403,964,H,NYY,CKLUBER,0,1,0,2,0,2,0,0,x,5,-190,-162,-1.5,105,9,-110,9,105
403,965,V,CLE,ZPLESAC,0,1,0,0,0,0,0,1,0,2,-175,-152,-1.5,100,8.5,-110,8,-115
403,966,H,DET,JTEHERAN,2,0,0,0,0,0,3,0,x,5,151,142,1.5,-120,8.5,-110,8,-105
403,967,V,BAL,MHARVEY,0,0,0,2,1,0,1,0,0,4,155,156,1.5,-125,10.5,-110,10,-105
403,968,H,BOS,THOUCK,0,0,0,1,1,0,0,0,0,2,-180,-166,-1.5,105,10.5,-110,10,-115
403,969,V,TEX,KARIHARA,2,0,2,0,0,0,0,0,0,4,144,152,1.5,-130,9.5,-110,9,-120
403,970,H,KAN,MMINOR-L,0,0,0,0,3,7,0,1,x,11,-165,-162,-1.5,110,9.5,-110,9,100
403,971,V,HOU,LMCCULLER,1,1,0,0,3,0,0,0,4,9,-135,-128,-1.5,120,9,-110,9,100
403,972,H,OAK,CIRVIN-L,1,0,0,0,0,0,0,0,0,1,115,118,1.5,-140,9,-110,9,-120
403,973,V,CWS,LLYNN,0,1,0,1,0,1,0,0,0,3,-130,-115,-1.5,130,8.5,-110,9,-110
403,974,H,LAA,ACOBB,0,0,2,0,0,0,0,3,x,5,110,105,1.5,-150,8.5,-110,9,-110
403,975,V,TAM,RHILL-L,0,2,0,0,4,0,0,1,0,7,-125,-106,-1.5,145,8,-110,7.5,-120
403,976,H,MIA,EHERNANDE,1,1,1,1,2,0,3,3,x,12,105,-104,1.5,-165,8,-110,7.5,100
403,977,V,MIN,JBERRIOS,0,0,0,0,0,0,1,1,0,2,-105,120,1.5,-180,8,-110,7.5,100
403,978,H,MIL,CBURNES,0,0,0,0,0,0,0,0,0,0,-115,-130,-1.5,160,8,-110,7.5,-120
403,979,V,SFO,LWEBB,0,0,0,0,0,0,0,0,0,0,-125,-115,-1.5,135,9,-110,9,100
403,980,H,SEA,CFLEXEN,0,0,1,2,0,0,1,0,x,4,105,105,1.5,-155,9,-110,9,-120
404,903,V,ATL,IANDERSON,0,0,0,0,0,0,1,0,0,1,-140,-112,-1.5,140,8.5,-110,8.5,-110
404,904,H,PHI,ZEFLIN,0,1,0,0,0,0,0,1,x,2,120,102,1.5,-160,8.5,-110,8.5,-110
404,905,V,STL,CMARTINEZ,0,0,0,0,1,0,0,0,0,1,-110,-112,-1.5,140,9.5,-110,9.5,-120
404,906,H,CIN,JHOFFMAN,0,0,0,1,3,6,2,0,x,12,-110,102,1.5,-160,9.5,-110,9.5,100
404,907,V,PIT,MKELLER,0,0,0,0,0,2,0,1,0,3,148,171,1.5,-125,8.5,-110,8.5,-105
404,908,H,CUB,ZDAVIES,2,0,1,0,0,1,0,0,x,4,-170,-186,-1.5,105,8.5,-110,8.5,-115
404,909,V,LAD,JURIAS-L,3,0,0,0,0,0,0,1,0,4,-250,-210,-1.5,-140,12,-110,12,-105
404,910,H,COL,AGOMBER-L,0,0,0,0,0,0,0,2,0,2,207,190,1.5,120,12,-110,12,-115
404,911,V,ARI,TWIDENER,2,0,1,0,0,0,0,0,0,3,1124,180,1.5,-110,9.5,-110,9,-110
404,912,H,SDG,CPADDACK,0,0,0,0,0,0,0,0,1,1,-2300,-200,-1.5,-110,9.5,-110,9,-110
404,913,V,TOR,TZEUCH,0,3,0,0,0,0,0,0,0,3,140,164,1.5,-120,9.5,-110,9.5,-110
404,914,H,NYY,DGERMAN,0,0,0,0,1,0,0,0,0,1,-160,-178,-1.5,100,9.5,-110,9.5,-110
404,915,V,CLE,ACIVALE,1,0,0,0,0,1,4,2,1,9,-150,-130,-1.5,120,8.5,-110,8,100
404,916,H,DET,TSKUBAL-L,2,0,1,0,0,0,0,0,0,3,130,120,1.5,-140,8.5,-110,8,-120
404,917,V,BAL,BZIMMERMA-L,3,0,7,0,0,0,0,0,1,11,144,160,1.5,-125,10,-110,9.5,-110
404,918,H,BOS,GRICHARDS,0,0,1,1,0,1,0,0,0,3,-165,-170,-1.5,105,10,-110,9.5,-110
404,919,V,TEX,JLYLES,0,0,3,3,0,0,0,0,1,7,151,150,1.5,-130,9.5,-110,10,-110
404,920,H,KAN,BSINGER,0,0,0,0,0,2,0,0,1,3,-175,-160,-1.5,110,9.5,-110,10,-110
404,921,V,HOU,JURQUIDY,1,2,2,0,0,4,0,0,0,9,-110,106,1.5,-190,8.5,-110,8.5,-110
404,922,H,OAK,SMANAEA-L,1,0,0,0,1,0,0,0,0,2,-110,-116,-1.5,170,8.5,-110,8.5,-110
404,923,V,CWS,DCEASE,0,0,0,0,3,0,0,0,1,4,100,114,1.5,-170,9,-110,9.5,100
404,924,H,LAA,SOHTANI--,2,0,0,1,1,0,0,0,3,7,-120,-124,-1.5,150,9,-110,9.5,-120
404,925,V,MIN,MPINEDA,1,0,0,0,1,4,0,2,0,8,-120,-105,-1.5,155,8.5,-110,8,-115
404,926,H,MIL,AHOUSER,0,1,0,0,0,1,0,0,0,2,100,-105,1.5,-175,8.5,-110,8,-105
405,953,V,STL,DPONCEDE,3,0,0,0,1,0,0,0,0,4,-110,106,1.5,-190,8,-110,8,-120
405,954,H,MIA,TROGERS-L,0,0,0,0,1,0,0,0,0,1,-110,-116,-1.5,170,8,-110,8,100
405,955,V,PIT,JBRUBAKER,2,0,0,0,0,0,0,0,1,3,120,141,1.5,-145,9,-110,9,-110
405,956,H,CIN,JDELEON,0,1,0,0,1,0,1,2,x,5,-140,-151,-1.5,125,9,-110,9,-110
405,957,V,NYM,JDEGROM,0,0,0,2,0,0,0,0,1,3,-220,-188,-1.5,-120,7.5,-110,7.5,-105
405,958,H,PHI,MMOORE-L,0,0,0,0,0,0,0,5,x,5,184,173,1.5,100,7.5,-110,7.5,-115
405,959,V,MIL,BANDERSON-L,0,0,0,0,0,0,3,0,0,3,100,100,1.5,-190,9.5,-110,9.5,-110
405,960,H,CUB,TWILLIAMS,0,0,0,4,0,0,1,0,x,5,-120,-110,-1.5,170,9.5,-110,9.5,-110
405,961,V,SFO,ADESCLAFA,0,1,0,1,0,0,1,0,0,3,155,132,1.5,-160,8.5,-110,8,-110
405,962,H,SDG,AMOREJON-L,0,1,0,0,0,1,0,0,0,2,-180,-142,-1.5,140,8.5,-110,8,-110
405,963,V,MIN,MSHOEMAKE,1,5,0,0,5,2,2,0,0,15,-130,-152,-1.5,-105,8.5,-110,9,-105
405,964,H,DET,JURENA,0,0,0,0,1,0,0,0,5,6,110,142,1.5,-115,8.5,-110,9,-115
405,965,V,TOR,SMATZ-L,1,3,0,0,0,1,1,0,0,6,-160,-145,-1.5,100,10,-110,9.5,100
405,966,H,TEX,MFOLTYNEW,0,0,0,1,0,0,0,0,1,2,140,135,1.5,-120,10,-110,9.5,-120
405,967,V,KAN,DDUFFY-L,0,2,0,0,0,0,1,0,0,3,-115,115,1.5,-180,8,-110,9,-105
405,968,H,CLE,LALLEN-L,0,0,0,0,0,0,0,0,0,0,-105,-125,-1.5,160,8,-110,9,-115
405,969,V,BAL,JLOPEZ,0,0,0,0,0,0,0,0,0,0,176,205,1.5,105,9.5,-110,10,100
405,970,H,NYY,JMONTGOME-L,0,0,0,1,5,1,0,0,x,7,-210,-230,-1.5,-125,9.5,-110,10,-120
405,971,V,TAM,MWACHA,0,0,0,0,0,0,0,2,0,2,-110,-113,-1.5,140,9.5,-110,9.5,-110
405,972,H,BOS,NPIVETTA,0,1,0,2,2,2,0,4,x,11,-110,103,1.5,-160,9.5,-110,9.5,-110
405,973,V,HOU,LGARCIA,3,0,0,1,0,1,0,0,1,6,105,105,1.5,-185,9,-110,10,-105
405,974,H,LAA,JQUINTANA-L,0,0,0,2,1,0,0,4,x,7,-125,-115,-1.5,165,9,-110,10,-115
405,975,V,CWS,CRODON-L,0,1,0,3,2,0,0,0,0,6,-120,-123,-1.5,130,9,-110,8,-115
405,976,H,SEA,JSHEFFIEL-L,0,0,0,0,0,0,0,0,0,0,100,113,1.5,-150,9,-110,8,-105
405,977,V,LAD,DMAY,0,4,3,0,0,0,1,1,1,10,-155,-155,-1.5,-110,9,-110,8.5,-120
405,978,H,OAK,FMONTAS,0,0,0,0,0,0,0,3,0,3,135,145,1.5,-110,9,-110,8.5,100
406,901,V,ATL,DSMYLY-L,2,1,1,0,0,0,1,0,0,5,135,106,1.5,-190,8,-110,7.5,-115
406,902,H,WAS,MSCHERZER,0,2,2,0,0,0,0,1,1,6,-155,-116,-1.5,170,8,-110,7.5,-105
406,903,V,STL,JGANT,0,0,0,0,0,3,0,0,1,4,-105,117,1.5,-185,8,-110,7.5,-105
406,904,H,MIA,SALCANTAR,1,0,0,0,1,0,0,0,0,2,-115,-127,-1.5,165,8,-110,7.5,-115
406,905,V,PIT,TCAHILL,0,0,0,0,0,0,1,0,0,1,130,145,1.5,-145,9,-110,9,-115
406,906,H,CIN,WMILEY-L,1,4,0,2,5,2,0,0,x,14,-150,-155,-1.5,125,9,-110,9,-105
406,907,V,NYM,MSTROMAN,0,0,0,2,0,0,4,0,2,8,-140,-123,-1.5,125,9,-110,9,-110
406,908,H,PHI,CANDERSON,0,0,0,1,0,0,1,0,2,4,120,113,1.5,-145,9,-110,9,-110
406,909,V,MIL,FPERALTA,3,0,0,1,0,0,0,0,0,4,100,103,1.5,-190,9.5,-110,9,-115
406,910,H,CUB,AALZOLAY,0,0,0,0,0,0,0,0,0,0,-120,-113,-1.5,170,9.5,-110,9,-105
406,911,V,ARI,LWEAVER,0,0,0,0,1,2,2,0,0,10,120,113,1.5,-165,11,-110,10.5,100
406,912,H,COL,GMARQUEZ,0,2,0,1,0,0,1,0,1,8,-140,-123,-1.5,145,11,-110,10.5,-120
406,913,V,SFO,ASANCHEZ,0,0,1,0,0,0,0,0,0,1,192,170,1.5,-120,8,-110,8,-105
406,914,H,SDG,YDARVISH,0,0,1,0,0,0,2,0,x,3,-230,-185,-1.5,100,8,-110,8,-115
406,915,V,MIN,JHAPP-L,0,0,0,1,0,0,1,1,0,3,-155,-140,-1.5,110,9,-110,9,-115
406,916,H,DET,CMIZE,0,0,0,1,2,0,0,0,0,4,135,130,1.5,-130,9,-110,9,-105
406,917,V,HOU,ZGREINKE,0,2,0,0,0,0,0,0,2,4,-110,-102,1.5,-190,9,-110,9,105
406,918,H,LAA,DBUNDY,2,0,0,0,0,0,0,0,0,2,-110,-108,-1.5,170,9,-110,9,-125
406,919,V,BAL,DKREMER,0,0,0,0,0,0,0,0,2,2,245,245,1.5,130,8.5,-110,8,-110
406,920,H,NYY,GCOLE,0,1,0,2,0,0,1,3,x,7,-300,-280,-1.5,-150,8.5,-110,8,-110
406,921,V,TAM,TGLASNOW,0,0,2,0,0,1,0,0,0,5,-150,-155,-1.5,100,9,-110,9,100
406,922,H,BOS,MPEREZ-L,1,0,0,0,0,0,0,1,1,6,130,145,1.5,-120,9,-110,9,-120
406,923,V,TOR,TROARK,1,0,0,0,0,0,2,1,0,4,-130,-137,-1.5,110,9.5,-110,9.5,-115
406,924,H,TEX,DDUNNING,2,1,2,0,0,1,0,1,x,7,110,127,1.5,-130,9.5,-110,9.5,-105
406,925,V,CWS,LGIOLITO,0,3,0,0,2,0,1,4,0,10,-145,-150,-1.5,105,7.5,-110,7,-105
406,926,H,SEA,JPAXTON-L,0,0,3,0,0,0,0,0,1,4,125,140,1.5,-125,7.5,-110,7,-115
406,927,V,LAD,CKERSHAW-L,0,1,3,0,0,0,0,0,1,5,-190,-168,-1.5,-115,8,-110,8.5,-105
406,928,H,OAK,CBASSITT,1,0,0,0,0,0,0,0,0,1,163,158,1.5,-105,8,-110,8.5,-115
407,951,V,PIT,CKUHL,0,0,0,0,0,0,0,0,4,4,163,180,1.5,-115,8.5,-110,8,-120
407,952,H,CIN,LCASTILLO,5,0,0,0,3,0,1,2,x,11,-190,-200,-1.5,-105,8.5,-110,8,100
407,953,V,MIL,BWOODRUFF,0,0,0,0,0,0,0,1,0,4,-110,-108,1.5,-210,9,-110,9,-105
407,954,H,CUB,KHENDRICK,0,0,0,0,0,0,0,1,0,2,-110,-102,-1.5,185,9,-110,9,-115
407,955,V,ATL,MFRIED-L,1,5,0,0,0,0,1,x,x,7,-160,-170,-1.5,105,6.5,-110,6.5,-125
407,956,H,WAS,EFEDDE,4,1,0,0,0,0,1,x,x,6,140,160,1.5,-125,6.5,-110,6.5,105
407,957,V,NYM,DPETERSON-L,0,0,1,0,0,0,1,0,0,2,110,154,1.5,-130,8,-110,8,-120
407,958,H,PHI,ANOLA,4,0,0,0,3,1,0,0,x,8,-130,-164,-1.5,110,8,-110,8,100
407,959,V,STL,JFLAHERTY,0,0,0,0,0,0,2,1,4,7,100,-115,-1.5,150,7.5,-110,7,-120
407,960,H,MIA,PLOPEZ,0,0,0,0,0,0,0,0,0,0,-120,105,1.5,-170,7.5,-110,7,100
407,961,V,SFO,KGAUSMAN,0,2,0,0,0,0,0,0,0,3,130,138,1.5,-155,8,-110,7.5,100
407,962,H,SDG,BSNELL-L,0,0,0,0,1,0,0,1,0,2,-150,-148,-1.5,135,8,-110,7.5,-120
407,963,V,ARI,MBUMGARNE-L,0,0,0,0,0,0,0,0,0,0,100,-118,-1.5,125,11.5,-110,11.5,-120
407,964,H,COL,ASENZATEL,1,0,2,2,0,0,0,3,x,8,-120,108,1.5,-145,11.5,-110,11.5,100
407,965,V,MIN,KMAEDA,0,0,0,0,1,2,0,0,0,3,-175,-170,-1.5,-110,8,-110,8.5,-105
407,966,H,DET,MBOYD-L,0,1,0,0,1,0,0,0,0,2,151,160,1.5,-110,8,-110,8.5,-115
407,967,V,TAM,RYARBROUG-L,0,0,1,0,0,0,0,0,1,2,-120,102,1.5,-190,9,-110,8.5,-110
407,968,H,BOS,NEOVALDI,0,0,0,3,6,0,0,0,x,9,100,-112,-1.5,170,9,-110,8.5,-110
407,969,V,KAN,JJUNIS,0,0,0,1,0,0,1,0,0,2,160,170,1.5,-120,8,-110,8,-105
407,970,H,CLE,SBIEBER,0,0,0,0,0,2,0,2,x,4,-185,-185,-1.5,100,8,-110,8,-115
407,971,V,TOR,HRYU-L,0,0,0,0,0,0,0,1,0,1,-190,-185,-1.5,-130,9,-110,8.5,-115
407,972,H,TEX,KGIBSON,0,2,0,0,0,0,0,0,x,2,163,170,1.5,110,9,-110,8.5,-105
407,973,V,CWS,DKEUCHEL-L,0,0,0,0,3,1,0,0,0,4,-155,-142,-1.5,105,8.5,-110,8.5,100
407,974,H,SEA,JDUNN,0,0,1,0,0,7,0,0,x,8,135,132,1.5,-125,8.5,-110,8.5,-120
407,975,V,BAL,JMEANS-L,0,0,0,2,0,0,0,0,0,4,170,175,1.5,-115,9,-110,9,100
407,976,H,NYY,JTALLION,0,0,1,0,0,0,0,1,0,3,-200,-190,-1.5,-105,9,-110,9,-120
407,977,V,LAD,TBAUER,1,0,0,0,0,1,1,0,0,3,-190,-165,-1.5,-115,8.5,-110,8,-110
407,978,H,OAK,JLUZARDO-L,0,0,0,1,0,0,1,0,1,4,163,155,1.5,-105,8.5,-110,8,-110
407,979,V,ATL,HYNOA,0,0,0,0,0,0,2,x,x,2,130,122,1.5,-180,6.5,-110,6.5,-120
407,980,H,WAS,SSTRASBUR,0,0,0,0,0,0,0,x,x,0,-150,-132,-1.5,160,6.5,-110,6.5,100
408,901,V,MIA,NNEIDERT,0,0,0,0,0,2,0,0,0,2,163,165,1.5,-120,8.5,-110,8.5,-120
408,902,H,NYM,TWALKER,0,0,0,0,1,0,0,0,2,3,-190,-180,-1.5,100,8.5,-110,8.5,100
408,903,V,CUB,JARRIETA,1,0,0,0,0,2,0,1,0,4,-151,-150,-1.5,105,8.5,-110,8.5,-110
408,904,H,PIT,TANDERSON-L,0,0,0,2,0,0,0,0,0,2,131,140,1.5,-125,8.5,-110,8.5,-110
408,905,V,ARI,MKELLY,0,0,0,0,0,0,1,0,2,3,105,117,1.5,-160,12,-110,11,-115
408,906,H,COL,JGRAY,3,1,0,0,0,3,0,0,x,7,-125,-127,-1.5,140,12,-110,11,-105
408,907,V,MIL,CBURNES,0,0,1,0,0,0,0,0,0,1,-140,-140,-1.5,125,8,-110,7.5,105
408,908,H,STL,AWAINWRIG,0,0,0,0,0,0,1,2,x,3,120,130,1.5,-145,8,-110,7.5,-125
408,909,V,BOS,ERODRIGUE-L,2,0,0,0,0,2,2,1,0,7,-180,-148,-1.5,105,9.5,-110,9,-110
408,910,H,BAL,MHARVEY,2,0,0,1,0,0,0,0,0,3,155,138,1.5,-125,9.5,-110,9,-110
408,911,V,SEA,MGONZALES-L,0,0,1,0,0,1,0,0,0,2,155,196,1.5,-105,8,-110,8,-110
408,912,H,MIN,JBERRIOS,0,0,4,0,3,1,2,0,x,10,-180,-216,-1.5,-115,8,-110,8,-110
408,913,V,KAN,BKELLER,0,0,0,0,0,0,0,0,0,0,135,155,1.5,-140,9,-110,8,-120
408,914,H,CWS,LLYNN,3,1,0,0,0,2,0,0,x,6,-155,-165,-1.5,120,9,-110,8,100
408,915,V,LAA,GCANNING,1,2,0,0,1,0,1,0,0,7,-110,-101,1.5,-185,9.5,-110,10,-120
408,916,H,TOR,RSTRIPLIN,3,0,0,0,0,2,0,0,0,5,-110,-109,-1.5,165,9.5,-110,10,100
408,917,V,OAK,CIRVIN-L,0,0,0,0,0,0,0,0,2,2,144,156,1.5,-120,9.5,-110,10,-115
408,918,H,HOU,CJAVIER,0,1,0,1,0,3,1,0,x,6,-165,-166,-1.5,100,9.5,-110,10,-105
409,951,V,COL,AGOMBER-L,0,0,0,0,0,0,0,0,1,1,110,141,1.5,-145,8.5,-110,8.5,-110
409,952,H,SFO,JCUETO,0,0,0,0,0,0,2,1,x,3,-130,-151,-1.5,125,8.5,-110,8.5,-110
409,953,V,WAS,JROSS,0,0,0,0,0,0,0,0,0,0,215,245,1.5,125,8.5,-110,8.5,-115
409,954,H,LAD,WBUEHLER,0,0,0,0,0,1,0,0,x,1,-260,-280,-1.5,-145,8.5,-110,8.5,-105
409,955,V,PHI,ZWHEELER,0,0,1,0,0,0,0,0,0,1,-105,115,1.5,-180,8.5,-110,7.5,-115
409,956,H,ATL,CMORTON,0,0,0,0,3,3,0,2,x,8,-115,-125,-1.5,160,8.5,-110,7.5,-105
409,957,V,CIN,TMAHLE,0,0,1,1,2,1,0,0,0,6,-111,-143,-1.5,100,9,-110,9.5,100
409,958,H,ARI,TWIDENER,0,0,0,0,0,0,3,2,0,5,-109,133,1.5,-120,9,-110,9.5,-120
409,959,V,NYY,CKLUBER,0,0,4,0,0,0,0,1,0,5,-145,-129,-1.5,120,8.5,-110,8,-115
409,960,H,TAM,RHILL-L,0,2,3,4,0,0,1,0,x,10,125,119,1.5,-140,8.5,-110,8,-105
409,961,V,LAA,AHEANEY-L,0,4,0,0,3,0,0,0,0,7,-117,-125,-1.5,115,10.5,-110,11,100
409,962,H,TOR,DPHELPS,0,0,0,0,0,0,0,1,0,1,-103,115,1.5,-135,10.5,-110,11,-120
409,963,V,DET,DHOLLAND-L,0,0,0,0,0,0,0,1,0,1,155,170,1.5,-125,8.5,-110,9.5,-105
409,964,H,CLE,ZPLESAC,3,0,0,0,0,1,0,0,x,4,-180,-185,-1.5,105,8.5,-110,9.5,-115
409,965,V,OAK,SMANAEA-L,0,0,0,1,0,0,0,3,2,6,148,161,1.5,-130,9,-110,8.5,-120
409,966,H,HOU,LMCCULLER,0,0,0,1,0,0,0,0,1,2,-170,-172,-1.5,110,9,-110,8.5,100
409,967,V,SDG,JMUSGROVE,0,2,1,0,0,0,0,0,0,3,-175,-187,-1.5,-125,9,-110,9,-110
409,968,H,TEX,KARIHARA,0,0,0,0,0,0,0,0,0,0,151,172,1.5,105,9,-110,9,-110
410,901,V,MIA,TROGERS-L,0,1,0,0,0,0,0,0,2,3,226,240,1.5,105,7,-110,6.5,-120
410,902,H,NYM,JDEGROM,0,0,0,0,0,0,0,0,0,0,-275,-270,-1.5,-125,7,-110,6.5,100
410,903,V,MIL,AHOUSER,1,0,0,0,2,0,5,1,0,9,-120,102,1.5,-200,8.5,-110,8,100
410,904,H,STL,CMARTINEZ,0,0,0,0,0,2,0,3,0,5,100,-112,-1.5,175,8.5,-110,8,-120
410,905,V,COL,CGONZALEZ,0,0,0,1,2,0,0,0,0,3,140,160,1.5,-140,8.5,-110,8.5,-110
410,906,H,SFO,LWEBB,0,0,1,0,0,3,0,0,x,4,-160,-170,-1.5,120,8.5,-110,8.5,-110
410,907,V,CUB,ZDAVIES,1,0,0,0,0,0,0,1,0,2,-165,-157,-1.5,100,8,-110,8.5,-110
410,908,H,PIT,MKELLER,0,7,0,0,0,1,0,0,x,8,144,147,1.5,-120,8,-110,8.5,-110
410,909,V,PHI,ZEFLIN,2,0,0,0,1,1,0,0,0,4,130,124,1.5,-165,8,-110,8,-115
410,910,H,ATL,IANDERSON,3,0,0,0,0,1,1,0,x,5,-150,-134,-1.5,145,8,-110,8,-105
410,911,V,CIN,JHOFFMAN,0,2,0,0,0,0,0,1,0,3,-135,-122,-1.5,130,9.5,-110,9.5,-110
410,912,H,ARI,RSMITH,0,0,0,1,5,1,1,0,x,8,115,112,1.5,-150,9.5,-110,9.5,-110
