Date,Rot,VH,Team,Pitcher,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,Final,Open,Close,Run Line,,Open OU,,Close OU,
403,960,H,ARI,BARROYO-R,2,0,0,0,0,2,1,0,0,5,-120,-117,-1.5,170,8.5,100,8.5,-110
403,963,V,MIN,PHUGHES-R,0,0,3,0,2,0,2,1,2,10,130,125,1.5,-170,8,-110,7.5,-110
403,964,H,CWS,JQUINTANA-L,0,1,0,0,3,4,0,1,0,9,-145,-140,-1.5,150,8,-110,7.5,-110
403,965,V,BOS,FDOUBRO-L,0,1,1,1,0,1,0,0,0,4,105,-101,1.5,-210,9,-110,9,-105
403,966,H,BAL,WCHEN-L,0,0,0,2,0,1,0,0,0,3,-115,-109,-1.5,180,9,-110,9,-115
403,967,V,TOR,BMORROW-R,0,0,0,2,0,0,0,0,0,2,140,141,1.5,-150,7.5,-110,8,-105
403,968,H,TAM,CARCHER-R,0,1,3,0,0,0,3,0,x,7,-155,-156,-1.5,130,7.5,-110,8,-115
403,969,V,NYY,INOVA-R,0,0,2,0,1,0,1,0,0,4,-145,-152,-1.5,110,8,-110,8.5,100
403,970,H,HOU,BOBERHO-L,1,0,0,0,1,0,0,0,0,2,130,137,1.5,-130,8,-110,8.5,-120
403,971,V,SEA,RELIAS-L,1,0,0,0,1,0,0,0,0,2,120,125,1.5,-165,7.5,-110,8,100
403,972,H,OAK,JCHAVEZ-R,0,0,0,0,1,0,0,1,0,3,-135,-140,-1.5,145,7.5,-110,8,-120
404,901,V,ATL,DHALE-R,0,0,0,0,1,0,0,1,0,2,145,152,1.5,-145,7.5,-120,7.5,-110
404,902,H,WAS,JZIMMERMA-R,0,0,0,0,0,1,0,0,0,1,-165,-172,-1.5,125,7.5,100,7.5,-110
404,903,V,PHI,RHERNANDE-R,0,0,0,1,2,0,1,2,1,7,115,135,1.5,-155,13.5,-110,11,-105
404,904,H,CUB,TWOOD-L,0,1,1,0,0,0,0,0,0,2,-130,-150,-1.5,135,13.5,-110,11,-115
404,905,V,SFO,RVOGELSON-R,6,2,0,0,0,0,0,0,0,8,145,165,1.5,-150,7.5,100,7.5,103
404,906,H,LOS,HRYU-L,0,0,0,2,2,0,0,0,0,4,-165,-185,-1.5,130,7.5,-120,7.5,-123
404,907,V,ARI,RDELGADO-R,0,0,0,0,1,0,0,1,0,2,115,111,1.5,-180,10,-115,10,-105
404,908,H,COL,JNICASIO-R,1,0,3,2,0,2,2,2,x,12,-130,-126,-1.5,160,10,-105,10,-115
404,909,V,STL,SMILLER-R,0,0,0,0,2,0,0,0,0,2,105,-102,1.5,-240,7,-110,7,105
404,910,H,PIT,GCOLE-R,0,1,0,2,0,3,1,5,x,12,-115,-108,-1.5,200,7,-110,7,-125
404,911,V,CIN,MLEAKE-R,0,0,1,0,0,0,2,0,0,3,-120,-101,1.5,-220,7,-120,7,-115
404,912,H,NYM,JMEJIA-R,0,0,0,2,0,2,0,0,x,4,110,-109,-1.5,190,7,100,7,-105
404,913,V,SDG,ESTULTS-L,0,0,0,0,0,2,0,0,0,2,-102,-103,1.5,-215,7.5,-105,7.5,-110
404,914,H,MIA,TKOEHLER-R,2,0,3,0,2,0,0,1,x,8,-108,-107,-1.5,185,7.5,-115,7.5,-110
404,915,V,BAL,MGONZAL-R,2,0,0,0,0,0,0,0,2,4,145,147,1.5,-150,8,-115,7.5,-120
404,916,H,DET,ASANCHEZ-R,0,3,0,4,0,1,0,2,x,10,-165,-167,-1.5,130,8,-105,7.5,100
404,917,V,MIN,MPELFREY-R,2,0,0,0,0,0,0,0,0,2,160,170,1.5,-130,7.5,-132,7.5,-112
404,918,H,CLE,DSALAZAR-R,0,0,0,0,0,3,4,0,x,7,-180,-190,-1.5,110,7.5,112,7.5,-108
404,919,V,CWS,EJOHNSON-R,1,0,0,0,1,2,1,0,0,5,130,137,1.5,-160,8,-120,8.5,100
404,920,H,KAN,JGUTHRIE-R,3,1,0,0,3,0,0,0,x,7,-145,-152,-1.5,140,8,100,8.5,-120
404,921,V,NYY,MTANAKA-R,2,0,2,1,0,0,0,1,1,7,-130,-143,-1.5,120,8,-105,8.5,-115
404,922,H,TOR,DMCGOWAN-R,1,2,0,0,0,0,0,0,0,3,115,128,1.5,-140,8,-115,8.5,-105
404,923,V,TEX,JSAUNDERS-L,0,0,0,0,0,0,0,1,0,1,125,139,1.5,-155,8.5,-110,8.5,-113
404,924,H,TAM,JODORIZZI-R,1,0,3,1,3,0,0,0,x,8,-140,-154,-1.5,135,8.5,-110,8.5,-107
404,925,V,LAA,GRICHARDS-R,1,1,3,0,0,3,3,0,0,11,-140,-180,-1.5,-115,9,-103,9.5,100
404,926,H,HOU,LHARRELL-R,0,0,0,0,1,0,0,0,0,1,125,160,1.5,-105,9,-117,9.5,-120
404,929,V,MIL,MESTRADA-R,0,2,0,0,0,0,0,0,4,6,145,128,1.5,-165,8.5,-110,8.5,-125
404,930,H,BOS,JPEAVY-R,0,1,1,0,0,0,0,0,0,2,-165,-143,-1.5,145,8.5,-110,8.5,105
405,951,V,CIN,JCUETO-R,0,0,0,0,1,0,0,2,0,3,-140,-130,-1.5,130,6.5,-120,6.5,-115
405,952,H,NYM,DGEE-R,0,0,0,0,0,2,0,0,4,6,125,115,1.5,-150,6.5,100,6.5,-105
405,953,V,PHI,CLEE-L,1,0,0,1,0,0,0,0,0,2,-135,-116,-1.5,155,7,-110,6.5,-105
405,954,H,CUB,SAMARDZIJA-R,0,0,0,0,0,0,0,0,0,0,120,106,1.5,-175,7,-110,6.5,-115
405,955,V,SFO,BUMGARNER-L,0,1,0,1,4,1,0,0,0,7,-115,-112,-1.5,150,7.5,-105,7.5,100
405,956,H,LOS,PMAHOLM-L,0,1,0,0,0,0,1,0,0,2,105,102,1.5,-170,7.5,-115,7.5,-120
405,957,V,ATL,JTEHERAN-R,0,0,0,2,4,0,0,0,0,6,155,143,1.5,-165,6.5,-110,6.5,-105
405,958,H,WAS,STRASBURG-R,2,0,0,0,0,0,0,0,0,2,-175,-158,-1.5,145,6.5,-110,6.5,-115
405,959,V,STL,JKELLY-R,3,0,0,0,0,1,0,0,2,6,130,130,1.5,-180,7,100,7,100
405,960,H,PIT,FLIRIANO-L,0,0,1,0,0,0,0,0,0,1,-145,-145,-1.5,160,7,-120,7,-120
405,961,V,SDG,ACASHNER-R,0,0,0,0,0,0,0,0,0,0,135,135,1.5,-170,6,-120,6.5,100
405,962,H,MIA,JFERNANDZ-R,0,0,1,0,0,1,1,2,x,5,-150,-150,-1.5,150,6,100,6.5,-120
405,963,V,ARI,BMCCARTHY-R,1,1,2,0,0,0,0,0,0,4,125,107,1.5,-200,10,-110,9.5,-105
405,964,H,COL,DELAROSA-L,0,0,0,3,2,1,1,2,x,9,-140,-117,-1.5,170,10,-110,9.5,-115
405,965,V,MIN,KGIBSON-R,3,0,2,0,0,0,0,0,2,7,145,143,1.5,-155,9,100,8.5,-105
405,966,H,CLE,CCARRASCO-R,0,0,1,0,0,0,0,0,2,3,-165,-158,-1.5,135,9,-120,8.5,-115
405,967,V,NYY,MPINEDA-R,0,0,0,0,0,0,0,0,0,0,101,114,1.5,-165,8,-110,9,100
